Unnamed: 0,ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
27,31,7-dehydrocholesterol reductase,DHCR7,4191398.0,AF096305,Q9UBM7,DHCR7_HUMAN,,,DHCR7,HGNC:2860,Humans,DB00157
28,32,Dehydrogenase/reductase SDR family member 4,DHRS4,4105190.0,AF044127,Q9BTZ2,DHRS4_HUMAN,3O4R,,DHRS4,HGNC:16985,Humans,DB00162
29,33,Insulin receptor,INSR,307070.0,M10051,P06213,INSR_HUMAN,1GAG; 1I44; 1IR3; 1IRK; 1P14; 1RQQ; 2AUH; 2B4S; 2DTG; 2HR7; 2MFR; 2Z8C; 3BU3; 3BU5; 3BU6; 3EKK; 3EKN; 3ETA; 3LOH; 3W11; 3W12; 3W13; 3W14; 4IBM; 4OGA; 4XLV; 4XSS; 4XST; 5E1S,,INSR,HGNC:6091,Humans,DB03909; DB05115; DB05120; DB06075; DB08513; DB09129; DB12010; DB12267; DB15399; DB16637
31,35,Cystinosin,CTNS,3036851.0,Y15924,O60931,CTNS_HUMAN,,,CTNS,HGNC:2518,Humans,DB00138
32,36,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842.0,X03484,P04049,RAF1_HUMAN,1C1Y; 1FAQ; 1FAR; 1GUA; 1RFA; 3CU8; 3IQJ; 3IQU; 3IQV; 3KUC; 3KUD; 3NKX; 3O8I; 3OMV; 4FJ3; 4G0N; 4G3X; 4IEA; 4IHL,,RAF1,HGNC:9829,Humans,DB00398; DB05190; DB05268; DB08862; DB08896; DB08912; DB11718; DB12010
33,37,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,1935056.0,U65579,O00217,NDUS8_HUMAN,,,NDUFS8,HGNC:7715,Humans,DB00157
34,38,Phenylalanine--tRNA ligase alpha subunit,FARSA,2102679.0,U07424,Q9Y285,SYFA_HUMAN,3L4G,,FARSLA,HGNC:3592,Humans,DB00120
35,39,Transketolase,TKT,37267.0,X67688,P29401,TKT_HUMAN,3MOS; 3OOY; 4KXU; 4KXV; 4KXW; 4KXX; 4KXY,,TKT,HGNC:11834,Humans,DB09130
36,40,"Lipoyltransferase 1, mitochondrial",LIPT1,4586380.0,AB017566,Q9Y234,LIPT_HUMAN,,,LIPT1,HGNC:29569,Humans,DB00166
37,42,Pyridoxal kinase,PDXK,1946349.0,U89606,O00764,PDXK_HUMAN,2AJP; 2F7K; 2YXT; 2YXU; 3FHX; 3FHY; 3KEU; 4EN4; 4EOH,,PDXK,HGNC:8819,Humans,DB00147; DB00165; DB03909; DB04770; DB04776
38,43,Endothelin B receptor,EDNRB,182276.0,M74921,P24530,EDNRB_HUMAN,,,EDNRB,HGNC:3180,Humans,DB00559; DB06138; DB06268; DB06403; DB06460; DB06558; DB08932
39,44,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL,4457237.0,U47105,Q15738,NSDHL_HUMAN,,,NSDHL,HGNC:13398,Humans,DB00157
40,45,Muscarinic acetylcholine receptor M3,CHRM3,32324.0,X15266,P20309,ACM3_HUMAN,2CSA,,CHRM3,HGNC:1952,Humans,DB00185; DB00193; DB00202; DB00209; DB00246; DB00280; DB00332; DB00334; DB00342; DB00363; DB00376; DB00383; DB00387; DB00408; DB00411; DB00424; DB00434; DB00458; DB00462; DB00477; DB00496; DB00502; DB00505; DB00517; DB00572; DB00599; DB00622; DB00725; DB00747; DB00767; DB00804; DB00809; DB00835; DB00934; DB00940; DB00986; DB01019; DB01036; DB01062; DB01069; DB01085; DB01142; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01337; DB01338; DB01403; DB01409; DB01591; DB01625; DB03128; DB04365; DB04843; DB05752; DB06153; DB06702; DB06709; DB06787; DB08897; DB09076; DB09089; DB09167; DB09185; DB09262; DB09300; DB11181; DB11235; DB12278; DB13581; DB13720; DB14185
41,46,Pyruvate kinase PKLR,PKLR,3327365.0,AB015983,P30613,KPYR_HUMAN,2VGB; 2VGF; 2VGG; 2VGI; 4IMA; 4IP7,,PKLR,HGNC:9020,Humans,DB00119; DB02726; DB04551; DB16236
42,47,Solute carrier family 12 member 5,SLC12A5,12003227.0,AF208159,Q9H2X9,S12A5_HUMAN,,,SLC12A5,HGNC:13818,Humans,DB00761; DB00887
43,48,Prothrombin,F2,339641.0,M17262,P00734,THRB_HUMAN,1A2C; 1A3B; 1A3E; 1A46; 1A4W; 1A5G; 1A61; 1ABI; 1ABJ; 1AD8; 1AE8; 1AFE; 1AHT; 1AI8; 1AIX; 1AWF; 1AWH; 1AY6; 1B5G; 1B7X; 1BA8; 1BB0; 1BCU; 1BHX; 1BMM; 1BMN; 1BTH; 1C1U; 1C1V; 1C1W; 1C4U; 1C4V; 1C4Y; 1C5L; 1C5N; 1C5O; 1CA8; 1D3D; 1D3P; 1D3Q; 1D3T; 1D4P; 1D6W; 1D9I; 1DE7; 1DIT; 1DM4; 1DOJ; 1DWB; 1DWC; 1DWD; 1DWE; 1DX5; 1E0F; 1EB1; 1EOJ; 1EOL; 1FPC; 1FPH; 1G30; 1G32; 1G37; 1GHV; 1GHW; 1GHX; 1GHY; 1GJ4; 1GJ5; 1H8D; 1H8I; 1HAG; 1HAH; 1HAI; 1HAO; 1HAP; 1HBT; 1HDT; 1HGT; 1HLT; 1HUT; 1HXE; 1HXF; 1IHS; 1IHT; 1JMO; 1JOU; 1JWT; 1K21; 1K22; 1KTS; 1KTT; 1LHC; 1LHD; 1LHE; 1LHF; 1LHG; 1MH0; 1MU6; 1MU8; 1MUE; 1NM6; 1NO9; 1NRN; 1NRO; 1NRP; 1NRQ; 1NRR; 1NRS; 1NT1; 1NU7; 1NU9; 1NY2; 1NZQ; 1O0D; 1O2G; 1O5G; 1OOK; 1OYT; 1P8V; 1PPB; 1QBV; 1QHR; 1QJ1; 1QJ6; 1QJ7; 1QUR; 1RD3; 1RIW; 1SB1; 1SFQ; 1SG8; 1SGI; 1SHH; 1SL3; 1SR5; 1T4U; 1T4V; 1TA2; 1TA6; 1TB6; 1TBZ; 1THP; 1THR; 1THS; 1TMB; 1TMT; 1TMU; 1TOM; 1TQ0; 1TQ7; 1TWX; 1UMA; 1UVS; 1VR1; 1VZQ; 1W7G; 1WAY; 1WBG; 1XM1; 1XMN; 1YPE; 1YPG; 1YPJ; 1YPK; 1YPL; 1YPM; 1Z71; 1Z8I; 1Z8J; 1ZGI; 1ZGV; 1ZRB; 2A0Q; 2A2X; 2A45; 2AFQ; 2ANK; 2ANM; 2B5T; 2BDY; 2BVR; 2BVS; 2BVX; 2BXT; 2BXU; 2C8W; 2C8X; 2C8Y; 2C8Z; 2C90; 2C93; 2CF8; 2CF9; 2CN0; 2FEQ; 2FES; 2GDE; 2GP9; 2H9T; 2HGT; 2HNT; 2HPP; 2HPQ; 2HWL; 2JH0; 2JH5; 2JH6; 2OD3; 2PGB; 2PGQ; 2PKS; 2PW8; 2R2M; 2THF; 2UUF; 2UUJ; 2UUK; 2V3H; 2V3O; 2ZC9; 2ZDA; 2ZDV; 2ZF0; 2ZFF; 2ZFP; 2ZFQ; 2ZFR; 2ZG0; 2ZGB; 2ZGX; 2ZHE; 2ZHF; 2ZHQ; 2ZHW; 2ZI2; 2ZIQ; 2ZNK; 2ZO3; 3B23; 3B9F; 3BEF; 3BEI; 3BF6; 3BIU; 3BIV; 3BV9; 3C1K; 3C27; 3D49; 3DA9; 3DD2; 3DHK; 3DT0; 3DUX; 3E6P; 3EE0; 3EGK; 3EQ0; 3F68; 3GIC; 3GIS; 3HAT; 3HKJ; 3HTC; 3JZ1; 3JZ2; 3K65; 3LDX; 3LU9; 3NXP; 3P17; 3P6Z; 3P70; 3PMH; 3PO1; 3QDZ; 3QGN; 3QLP; 3QTO; 3QTV; 3QWC; 3QX5; 3R3G; 3RLW; 3RLY; 3RM0; 3RM2; 3RML; 3RMM; 3RMN; 3RMO; 3S7H; 3S7K; 3SHA; 3SHC; 3SI3; 3SI4; 3SQE; 3SQH; 3SV2; 3T5F; 3TU7; 3U69; 3U8O; 3U8R; 3U8T; 3U98; 3U9A; 3UTU; 3UWJ; 3VXE; 3VXF; 4AX9; 4AYV; 4AYY; 4AZ2; 4BAH; 4BAK; 4BAM; 4BAN; 4BAO; 4BAQ; 4BOH; 4CH2; 4CH8; 4DIH; 4DII; 4DT7; 4DY7; 4E05; 4E06; 4E7R; 4H6S; 4H6T; 4HFP; 4HTC; 4HZH; 4I7Y; 4LOY; 4LXB; 4LZ1; 4LZ4; 4MLF; 4N3L; 4NZE; 4NZQ; 4O03; 4RKJ; 4RKO; 4RN6; 4THN; 4UD9; 4UDW; 4UE7; 4UEH; 4YES; 5AF9; 5AFY; 5AFZ; 5AHG; 5E8E; 5GDS; 7KME; 8KME,,F2,HGNC:3535,Humans,DB00006; DB00170; DB00278; DB01123; DB01225; DB01593; DB01725; DB01766; DB01767; DB02287; DB02723; DB03136; DB03159; DB03847; DB03865; DB04136; DB04591; DB04697; DB04722; DB04771; DB04772; DB04786; DB04898; DB05714; DB06695; DB06838; DB06841; DB06845; DB06850; DB06853; DB06858; DB06859; DB06861; DB06865; DB06866; DB06868; DB06869; DB06878; DB06911; DB06919; DB06929; DB06936; DB06942; DB06947; DB06996; DB07005; DB07016; DB07027; DB07083; DB07088; DB07091; DB07095; DB07105; DB07120; DB07128; DB07131; DB07133; DB07143; DB07165; DB07190; DB07211; DB07277; DB07278; DB07279; DB07353; DB07366; DB07376; DB07400; DB07440; DB07461; DB07508; DB07515; DB07521; DB07522; DB07527; DB07548; DB07549; DB07550; DB07639; DB07658; DB07659; DB07660; DB07665; DB07718; DB07741; DB07796; DB07809; DB07897; DB07934; DB07944; DB07946; DB08061; DB08062; DB08152; DB08187; DB08254; DB08422; DB08546; DB08624; DB09130; DB09332; DB12598; DB12831; DB14487
44,49,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,182488.0,M33195,P30273,FCERG_HUMAN,,,FCER1G,HGNC:3611,Humans,DB00895
45,50,Delta-aminolevulinic acid dehydratase,ALAD,178329.0,M13928,P13716,HEM2_HUMAN,1E51; 1PV8,,ALAD,HGNC:395,Humans,DB00855; DB02068; DB02239; DB02260; DB02272; DB02878; DB04560; DB04781
46,51,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,306889.0,M27137,P14060,3BHS1_HUMAN,,,HSD3B1,HGNC:5217,Humans,DB00157; DB01108; DB01536; DB14538; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544
47,52,Cationic amino acid transporter 4,SLC7A4,4378940.0,AJ000730,O43246,CTR4_HUMAN,,,SLC7A4,HGNC:11062,Humans,DB00123; DB00125
48,55,Glycine receptor subunit beta,GLRB,992687.0,U33267,P48167,GLRB_HUMAN,,,GLRB,HGNC:4329,Humans,DB00145; DB00431
50,58,Matrix metalloproteinase-9,MMP9,177205.0,J05070,P14780,MMP9_HUMAN,1GKC; 1GKD; 1ITV; 1L6J; 1LKG; 2OVX; 2OVZ; 2OW0; 2OW1; 2OW2; 4H1Q; 4H2E; 4H3X; 4H82; 4HMA; 4JIJ; 4JQG; 4WZV; 4XCT,,MMP9,HGNC:7176,Humans,DB00143; DB00786; DB01017; DB01197; DB01593; DB01949; DB03683; DB05387; DB05495; DB07117; DB07246; DB07285; DB12843; DB14487; DB14533; DB14548
51,59,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,184401.0,M67466,P26439,3BHS2_HUMAN,,,HSD3B2,HGNC:5218,Humans,DB00157; DB01108
52,60,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,190786.0,M24486,P13674,P4HA1_HUMAN,1TJC; 2V5F; 2YQ8; 4BT8; 4BT9; 4BTA; 4BTB,,P4HA1,HGNC:8546,Humans,DB00126; DB00172; DB01275
53,61,Cannabinoid receptor 1,CNR1,29915.0,X54937,P21554,CNR1_HUMAN,1LVQ; 1LVR; 2B0Y; 2KOE,,CNR1,HGNC:2159,Humans,DB00470; DB00486; DB02955; DB05077; DB05201; DB05750; DB06155; DB09061; DB09288; DB11745; DB11755; DB14011
54,62,Type-1 angiotensin II receptor,AGTR1,179122.0,M91464,P30556,AGTR1_HUMAN,1ZV0; 4YAY; 4ZUD,,AGTR1,HGNC:336,Humans,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB01342; DB01347; DB01349; DB08822; DB09279; DB13919
55,63,"Serine--tRNA ligase, cytoplasmic",SARS,1050527.0,X91257,P49591,SYSC_HUMAN,3VBB; 4L87; 4RQE; 4RQF,,SARS,HGNC:10537,Humans,DB00133
56,64,Prostaglandin E2 receptor EP1 subtype,PTGER1,410209.0,L22647,P34995,PE2R1_HUMAN,,,PTGER1,HGNC:9593,Humans,DB00297; DB00429; DB00770; DB00905; DB00917; DB00929; DB01088; DB09211; DB15071
57,65,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,35360.0,Y00978,P10515,ODP2_HUMAN,1FYC; 1Y8N; 1Y8O; 1Y8P; 2DNE; 2PNR; 2Q8I; 3B8K; 3CRK; 3CRL,,DLAT,HGNC:2896,Humans,DB00157; DB03758; DB03760
58,66,B-lymphocyte antigen CD20,MS4A1,29774.0,X12530,P11836,CD20_HUMAN,1S8B; 2OSL; 3BKY; 3PP4,,MS4A1,HGNC:7315,Humans,DB09336
59,67,"Nitric oxide synthase, brain",NOS1,642526.0,U17327,P29475,NOS1_HUMAN,4D1N; 4UCH; 4UH5; 4UH6; 4V3U; 5ADF; 5ADG; 5ADI,,NOS1,HGNC:7872,Humans,DB00155; DB00843; DB01221; DB01821; DB01942; DB01997; DB02027; DB02044; DB02077; DB02143; DB02207; DB02644; DB02727; DB02991; DB03144; DB03147; DB03247; DB03449; DB03461; DB03707; DB03710; DB03892; DB04223; DB06096; DB08018; DB08019; DB09241
60,68,L-lactate dehydrogenase B chain,LDHB,1200083.0,X13794,P07195,LDHB_HUMAN,1I0Z; 1T2F,,LDHB,HGNC:6541,Humans,DB00157; DB02401; DB03940; DB09118; DB11638
61,69,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,219918.0,D90228,P24752,THIL_HUMAN,2F2S; 2IB7; 2IB8; 2IB9; 2IBU; 2IBW; 2IBY,,ACAT1,HGNC:93,Humans,DB00795; DB09061; DB14011
62,70,Group 10 secretory phospholipase A2,PLA2G10,2289237.0,U95301,O15496,PA2GX_HUMAN,1LE6; 1LE7; 4UY1,,PLA2G10,HGNC:9029,Humans,DB05737
63,71,Peroxisome proliferator-activated receptor alpha,PPARA,307341.0,L02932,Q07869,PPARA_HUMAN,1I7G; 1K7L; 1KKQ; 2NPA; 2P54; 2REW; 2ZNN; 3ET1; 3FEI; 3G8I; 3KDT; 3KDU; 3SP6; 3VI8; 4BCR; 4CI4,,PPARA,HGNC:9232,Humans,DB00132; DB00159; DB00197; DB00313; DB00328; DB00412; DB00573; DB00636; DB01039; DB01050; DB01118; DB01241; DB01393; DB01708; DB01890; DB02266; DB02709; DB02746; DB03017; DB03193; DB03756; DB03796; DB04224; DB04519; DB04557; DB04971; DB05187; DB05416; DB06510; DB06521; DB06533; DB06536; DB07215; DB07724; DB08231; DB08915; DB09006; DB09064; DB09213; DB11133; DB11605; DB12007; DB12961; DB13873
64,72,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,10934059.0,AB050049,Q9HCC0,MCCB_HUMAN,,,MCCC2,HGNC:6937,Humans,DB00121
65,73,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",AASS,7264724.0,AF229180,Q9UDR5,AASS_HUMAN,,,AASS,HGNC:17366,Humans,DB00142; DB00157; DB02338; DB04207
66,74,Nuclear receptor subfamily 0 group B member 1,NR0B1,786532.0,U31929,P51843,NR0B1_HUMAN,4RWV,,NR0B1,HGNC:7960,Humans,DB01234; DB14649
67,76,SEC14-like protein 4,SEC14L4,27803380.0,AY158085,Q9UDX3,S14L4_HUMAN,4TLG,,SEC14L4,HGNC:20627,Humans,DB00163
68,77,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,306885.0,M31642,P00492,HPRT_HUMAN,1BZY; 1D6N; 1HMP; 1Z7G; 2VFA; 3GEP; 3GGC; 3GGJ; 4IJQ; 4KN6; 4RAB; 4RAC; 4RAD; 4RAN; 4RAO; 4RAQ; 5BRN; 5BSK,,HPRT1,HGNC:5157,Humans,DB01033; DB01632; DB02309; DB03153; DB04356
69,78,Retinoic acid receptor RXR-beta,RXRB,30448.0,X63522,P28702,RXRB_HUMAN,1H9U; 1UHL,,RXRB,HGNC:10478,Humans,DB00210; DB00307; DB00412; DB00459; DB00523; DB00755; DB00799; DB00926; DB01393; DB01941; DB02746; DB03756; DB07080; DB07929; DB08175
70,79,Cysteine sulfinic acid decarboxylase,CSAD,4894558.0,AF116546,Q9Y600,CSAD_HUMAN,2JIS,,CSAD,HGNC:18966,Humans,DB00114; DB00151
71,80,Tryptophan 5-hydroxylase 2,TPH2,27497159.0,AY098914,Q8IWU9,TPH2_HUMAN,4V06,,TPH2,HGNC:20692,Humans,DB12095
72,81,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,4191348.0,AF087661,O95299,NDUAA_HUMAN,,,NDUFA10,HGNC:7684,Humans,DB00157
73,82,Creatine kinase B-type,CKB,180572.0,M16451,P12277,KCRB_HUMAN,3B6R; 3DRB; 3DRE,,CKB,HGNC:1991,Humans,DB00148; DB13191
74,84,5-hydroxytryptamine receptor 4,HTR4,2661757.0,Y12505,Q13639,5HT4R_HUMAN,,,HTR4,HGNC:5299,Humans,DB00320; DB00604; DB00904; DB01079; DB01233; DB04873; DB04917; DB05542; DB05905; DB06422; DB06480; DB08810; DB12702
75,85,Ferritin light chain,FTL,182514.0,M11147,P02792,FRIL_HUMAN,2FFX; 2FG4; 2FG8; 3KXU; 4V6B,,FTL,HGNC:3999,Humans,DB00893; DB02285; DB09147; DB09517; DB13995
76,86,Histidine ammonia-lyase,HAL,451210.0,D16626,P42357,HUTH_HUMAN,,,HAL,HGNC:4806,Humans,DB00117
77,87,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,190074.0,L06419,Q02809,PLOD1_HUMAN,,,PLOD1,HGNC:9081,Humans,DB00126
78,88,Pyruvate kinase PKM,PKM,189998.0,M23725,P14618,KPYM_HUMAN,1T5A; 1ZJH; 3BJF; 3BJT; 3G2G; 3GQY; 3GR4; 3H6O; 3ME3; 3SRD; 3SRF; 3SRH; 3U2Z; 4B2D; 4FXF; 4FXJ; 4G1N; 4JPG; 4QG6; 4QG8; 4QG9; 4QGC; 4RPP; 4WJ8,,PKM2,HGNC:9021,Humans,DB00119; DB01733; DB02726; DB07628; DB07692; DB07697; DB08951; DB09130; DB11263; DB11638
79,89,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,NDUFS5,2911482.0,AF047434,O43920,NDUS5_HUMAN,,,NDUFS5,HGNC:7712,Humans,DB00157
